id,like_movie,movie_id,user_id
1,1,3267258,101631
2,1,6334354,1
3,1,3228774,1
4,1,5659172,101631
6,1,8760932,57278
7,1,1596029,103222
8,1,1345836,103080
9,1,9749604,72345
10,1,191043,1
11,1,898266,1
12,1,1043813,23337
13,1,1663202,68142
14,1,10696896,1
15,,12783454,103245
16,1,5433138,49866
17,1,10168312,100020
18,1,7736558,80245
19,1,1788634,17243
20,1,2934486,102938
21,1,2911666,101395
22,1,4574334,98969
23,1,1361336,96622
24,,4179452,89497
25,1,3783958,89497
26,1,12063450,44545
27,1,8892900,103285
28,1,298203,94271
29,1,378793,1
30,1,409847,102597
31,1,1192628,102597
32,1,2948372,1
33,1,181689,101761
34,1,109424,101631
35,1,423866,101631
36,1,364569,101631
37,1,347149,101631
38,1,3554046,100790
39,1,298203,1
40,1,3228774,14472
41,1,1663202,71160
42,,9243804,12294
43,,5433138,12294
44,1,7134908,101584
45,1,760437,48786
46,1,2203939,100517
47,1,198781,1
48,1,4481414,103342
49,1,2883512,103342
50,1,805647,80245
51,,262699,92895
52,1,12783454,89735
53,1,1663202,94707
54,1,759364,103342
55,1,1507002,103342
56,1,2967224,103342
57,1,2948372,102162
58,1,5109280,102162
59,1,2850386,102162
60,1,2442560,2675
61,1,9024590,103363
62,1,191043,41153
63,1,191043,57796
64,1,191043,71401
65,1,4052886,101632
66,1,8962124,103082
67,1,12783454,98892
68,1,2925768,91231
69,1,5323662,94434
70,1,245429,103432
71,1,1865718,103432
72,1,108778,103432
73,1,477347,58902
74,1,1078912,58902
75,1,6217926,78208
76,1,13392012,78208
77,1,7533152,103484
78,1,11337862,94797
79,1,10062292,15024
80,1,379694,103367
81,1,378793,100566
82,1,108778,103491
83,1,6334354,103496
84,1,6966692,95604
85,1,283283,101631
86,1,6246322,101916
87,1,70047,101916
88,1,2560140,63213
89,1,2101383,101631
90,1,1001508,103342
91,1,4633694,94181
92,1,10362466,103514
93,1,6334354,103521
94,1,4641602,103522
95,1,1640111,101631
96,1,2576522,101631
97,1,1361336,81299
98,1,12783454,85065
99,1,7146812,62164
100,1,1312171,103564
101,1,11256260,91306
102,1,5541240,65015
103,1,2872732,103409
104,,12783454,95705
105,1,378793,91392
106,1,378793,98744
107,1,2948372,98744
108,1,7146812,98744
109,1,2850386,98744
110,1,12801262,98744
111,1,7608248,85387
112,1,1961175,87706
113,1,9648672,98160
114,1,1980929,85387
115,1,4633694,103608
116,1,6257970,37702
117,1,4574334,89826
134,1,113277,1
118,1,1099212,63129
119,1,10886166,103575
120,1,6334354,101584
121,,6612630,103325
122,1,21664,103644
123,1,6921996,76134
124,1,1365519,99388
125,1,5065822,64012
126,1,4633694,102597
127,1,993846,102369
128,1,3322312,76398
129,1,2381991,90020
130,1,3521164,85946
131,,5463162,44589
132,1,378793,89508
133,1,7975244,97095
135,1,10168312,74771
136,1,1232829,50245
140,1,10168312,99106
137,1,8388508,103702
138,1,10886166,103701
139,1,9140554,13732
141,1,1355644,24533
142,1,1800241,24533
143,1,9426210,24533
144,1,10208198,101720
145,1,10886166,13173
146,1,2948372,62469
147,1,1174954,103691
148,1,114369,58349
149,,9243804,89584
150,,5433138,97064
151,1,6264654,103718
152,1,7767422,76902
153,1,2072230,23337
154,1,9140554,62802
155,1,14781024,103731
156,1,13767550,103731
157,1,5311514,71232
158,,6334354,103743
159,1,6264654,103754
160,1,4016454,103761
161,1,6334354,103763
162,1,1454545,103779
163,1,10168312,61030
164,1,805647,103833
165,1,12801262,103833
166,1,7979580,103833
167,1,10362466,51579
168,1,5463162,103856
169,1,1099212,93014
170,1,6264654,103890
171,1,1825683,73246
172,1,944947,81103
173,1,1588170,83470
174,1,903747,103908
175,1,3065204,103905
176,,7713068,103895
177,1,407398,103432
178,1,3778644,103937
287,1,10366460,52503
179,1,10168312,103940
180,,9243804,103940
181,1,14957270,103947
182,1,378793,52078
183,1,4263482,103905
184,1,993846,103953
185,1,2861424,1
186,1,3067038,96779
288,1,108778,66005
187,1,12783454,75932
188,,758752,91568
189,1,10485148,103979
190,1,1010048,1
191,1,1099212,103147
192,1,378793,103895
193,1,99674,73246
194,1,12851396,80245
195,1,5848272,91783
196,1,398286,91783
197,,5580036,104000
198,1,141842,102874
199,1,108778,44800
200,1,5875444,78897
201,1,6334354,103887
202,1,9140554,91698
203,1,1734135,80245
204,1,489237,103342
205,1,467200,103342
206,,2229499,23919
207,1,2861424,73246
208,1,14324650,103388
209,1,14402926,103388
210,1,1361336,63786
211,1,1043813,103799
212,1,2948356,104076
213,1,944947,104084
214,1,10228134,98744
215,1,10295212,19025
216,1,4524056,98744
217,1,12439466,75264
218,1,1661031,30408
219,1,353969,101478
220,1,443706,101478
221,1,1568346,101478
222,1,338013,104107
223,1,1375666,104108
224,1,5726616,50746
225,1,1568346,24705
226,1,2452244,104133
227,1,1013753,95496
228,1,1321870,95496
229,1,327056,95496
230,1,327056,1
231,1,8772296,80133
232,1,5311514,103432
233,1,6264654,104188
234,1,6315750,102209
235,1,5109280,104197
289,1,141842,98969
236,1,1024648,46561
237,1,5323662,1
238,1,5323662,75169
239,1,2306299,103761
240,1,478304,47484
241,1,2543312,104250
242,1,804484,104250
243,1,3228774,104254
244,1,6621976,96622
245,1,9848626,81103
246,1,1520211,15024
247,1,6334354,103326
248,1,10168312,56090
249,1,11238648,35058
250,1,386676,1
251,1,1723811,104294
252,1,6468322,58593
253,1,279600,88841
254,1,279600,93359
255,,452694,104321
256,1,5726616,74107
257,,7767422,102034
258,1,10886166,102883
259,1,10168312,80394
260,1,898266,51824
261,,3107288,103761
262,1,3824648,51199
263,1,944947,99588
264,1,5433138,104355
265,1,5626028,96621
266,1,808417,57796
267,1,338013,104372
268,,758752,63477
269,1,460649,68305
271,1,6334354,104392
272,1,5323662,101225
273,1,1043813,61030
290,1,11767722,99666
291,1,9697780,104058
270,,378793,103667
274,1,1318514,103251
275,1,2084970,97459
276,1,14781024,104383
277,1,6857112,104414
278,1,5460658,104415
279,1,114814,103489
280,1,945513,72689
281,1,10366460,48547
282,1,5288312,104430
283,1,11657662,71232
284,1,9055008,104431
285,,4799066,104434
286,1,3799232,104434
292,1,10276470,104430
293,1,5726616,68347
294,1,460649,103933
295,1,443706,101681
296,1,898266,63627
297,,1439629,63627
298,1,7134908,75387
299,1,1645170,54937
300,1,68646,46561
301,,13551614,30882
302,1,1591095,102020
303,1,2854926,58902
305,1,5420376,40171
304,1,6644200,73603
306,1,246578,63929
307,1,8613070,104501
308,1,1292566,26601
309,1,3170832,102597
310,,11657662,86504
311,1,964517,24533
312,1,4477536,104514
313,1,7146812,94232
314,1,5311514,94232
315,1,13634872,104407
316,1,2861424,61030
317,1,1211837,91084
318,1,411008,104544
319,1,1001508,66022
320,1,1355644,92671
321,1,473075,84014
322,1,903747,75932
323,1,11767484,104430
324,1,4154756,25542
325,1,54331,104438
326,1,212671,104438
327,,120630,21641
328,1,6264654,104517
329,,6857332,104577
330,1,8760932,29440
331,1,8228288,25542
449,1,1130884,104558
332,1,2580046,101821
333,1,6264654,100790
334,1,6334354,104355
335,1,6257970,34513
336,1,6264654,103721
337,1,6217926,104431
338,1,145487,90098
339,1,338013,21473
340,1,2442560,94797
341,1,1043813,41153
342,1,5420376,41153
343,1,5420376,100409
344,1,10731768,80468
345,1,338013,80468
346,1,14781024,104662
347,1,5420376,98969
348,1,2560140,98969
349,1,4172224,101761
350,1,10986410,104545
351,1,14781024,104672
352,1,2509222,81
353,1,10168312,83077
354,1,10731768,78692
356,1,5420376,82856
357,1,7979580,103571
358,1,8241000,103571
359,1,870154,103571
360,1,5433138,104661
361,1,332280,104717
362,1,4590256,100789
363,1,5420376,100756
364,,8093952,99314
365,1,8772296,104199
366,1,7767422,43452
367,1,7949218,104741
368,1,120338,103616
369,1,10886166,68229
370,1,3783958,34456
371,1,7949218,15024
372,1,2699128,78142
373,1,4007374,104194
374,1,10366460,25542
375,1,7949218,1
376,1,309987,104558
377,,243664,104558
378,1,246578,104558
379,1,317705,104558
380,1,319061,104558
381,1,325980,104558
382,1,352248,104558
383,1,266697,104558
384,1,401792,104558
385,1,440963,104558
386,1,450259,104558
387,1,454921,104558
388,1,808417,104558
389,1,1010048,104558
390,1,1185616,104558
391,1,1277737,104558
392,1,198781,104558
393,1,264464,104558
394,1,395169,104558
395,1,434409,104558
396,1,477348,104558
397,1,758758,104558
398,1,978762,104558
399,1,1028532,104558
400,1,1205489,104558
401,1,268978,104558
402,1,372784,104558
403,1,375611,104558
404,,386792,104558
405,1,208092,104558
406,1,338013,104558
407,1,361748,104558
408,1,209144,104558
409,1,910970,104558
410,1,172495,104558
411,1,482571,104558
412,1,120737,104558
413,1,167261,104558
414,1,167260,104558
415,1,468569,104558
416,1,848228,104558
417,1,947798,104558
418,1,1188996,104558
419,1,1454029,104558
420,1,1504320,104558
421,1,1663202,104558
422,1,1798709,104558
423,1,1856101,104558
424,1,2015381,104558
425,1,2084970,104558
426,1,2265171,104558
427,1,2370248,104558
428,1,2543472,104558
429,1,2948356,104558
430,1,3659388,104558
431,1,3741834,104558
432,1,5116302,104558
433,1,892769,104558
434,1,1291584,104558
435,1,1392214,104558
436,1,1895587,104558
437,1,1950186,104558
438,1,1979320,104558
439,1,2024544,104558
440,1,2096673,104558
441,1,2119532,104558
442,1,2199711,104558
443,1,2948372,104558
444,1,3170832,104558
445,1,3315342,104558
446,1,5027774,104558
447,1,4052886,2697
448,1,435761,104558
450,1,4729430,104558
451,1,6966692,104558
452,1,8579674,104558
453,1,1345836,104558
454,1,1853728,104558
455,1,2170667,104558
456,1,2380307,104558
457,1,1126590,89759
458,1,4154756,104558
459,1,4154796,104558
460,1,5074352,104558
461,1,4633694,104558
462,1,7286456,104558
463,1,8267604,104558
464,1,8503618,104558
465,1,2582802,104558
466,1,816692,104558
467,1,1375666,104558
468,1,99348,104558
469,1,101414,104558
470,1,102138,104558
471,1,103639,104558
472,1,105323,104558
473,1,106469,104558
474,1,107688,104558
475,1,114746,104558
476,1,7949218,35875
477,1,117666,104558
478,1,129167,104558
479,1,166896,104558
480,1,175880,104558
481,1,107290,104558
482,1,118715,104558
483,1,120382,104558
484,1,167404,104558
485,1,105695,104558
486,1,112641,104558
487,1,119488,104558
488,1,105236,104558
489,1,114787,104558
490,1,1723811,80468
492,1,112573,104558
491,,13507778,80468
493,1,114709,104558
494,1,119217,104558
495,1,103064,104558
496,1,110357,104558
497,1,114814,104558
